source_index,datetime,close,actual_target,prediction,future_return,strategy_return,trade_taken,is_correct,is_win,equity_curve,running_max,drawdown
17235,2026-06-25 16:25:00+00:00,4056.2,-1,-1,-0.0014052561510773,0.0014052561510773,True,True,True,1.0014052561510773,1.0014052561510773,0.0
17236,2026-06-25 16:30:00+00:00,4050.5,0,-1,-0.0007406493025552,0.0007406493025552,True,False,True,1.0021469462556207,1.0021469462556207,0.0
17237,2026-06-25 16:35:00+00:00,4047.5,0,-1,-7.411982705374243e-05,7.411982705374243e-05,True,False,True,1.0022212252139597,1.0022212252139597,0.0
17238,2026-06-25 16:40:00+00:00,4047.2,0,-1,0.0,-0.0,True,False,False,1.0022212252139597,1.0022212252139597,0.0
17239,2026-06-25 16:45:00+00:00,4047.2,0,1,-7.412532120965043e-05,-7.412532120965043e-05,True,False,False,1.0021469352437176,1.0022212252139597,-7.412532120965043e-05
17242,2026-06-25 17:00:00+00:00,4045.5,0,1,4.943764676790252e-05,4.943764676790252e-05,True,False,True,1.0021964790299116,1.0022212252139597,-2.4691339023275027e-05
17247,2026-06-25 17:25:00+00:00,4048.4,0,-1,-0.0002470111649046,0.0002470111649046,True,False,True,1.0024440327496602,1.0024440327496602,0.0
17256,2026-06-25 18:10:00+00:00,4047.7,1,-1,0.0014576179064653,-0.0014576179064653,True,False,False,1.000982852377295,1.0024440327496602,-0.0014576179064652584
17260,2026-06-25 18:30:00+00:00,4049.8,0,-1,0.0004197738159907,-0.0004197738159907,True,False,False,1.0005626659856113,1.0024440327496602,-0.0018767798526252433
17261,2026-06-25 18:35:00+00:00,4051.5,0,-1,-0.0007898309268171,0.0007898309268171,True,False,True,1.0013529413234252,1.0024440327496602,-0.001088431264578582
17272,2026-06-25 19:30:00+00:00,4049.3,0,1,0.0001975650112364,0.0001975650112364,True,False,True,1.0015507736285294,1.0024440327496602,-0.0008910812892771736
17275,2026-06-25 19:45:00+00:00,4042.0,0,-1,-0.0001484413656605,0.0001484413656605,True,False,True,1.0016994451931451,1.0024440327496602,-0.000742772196940189
17277,2026-06-25 19:55:00+00:00,4041.6,1,1,0.0010886777513856,0.0010886777513856,True,True,True,1.0027899730927023,1.0027899730927023,0.0
17278,2026-06-25 20:00:00+00:00,4046.0,0,-1,-0.0006920415224913,0.0006920415224913,True,False,True,1.0034839453924205,1.0034839453924205,0.0
17327,2026-06-26 01:05:00+00:00,4033.0,0,1,0.0004463178775104,0.0004463178775104,True,False,True,1.0039318182170438,1.0039318182170438,0.0
17329,2026-06-26 01:15:00+00:00,4040.0,0,-1,-0.0007178217821782,0.0007178217821782,True,False,True,1.0046524623439816,1.0046524623439816,0.0
17341,2026-06-26 02:15:00+00:00,4024.1,0,-1,-0.0007206580353371,0.0007206580353371,True,False,True,1.0053764732136912,1.0053764732136912,0.0
17342,2026-06-26 02:20:00+00:00,4021.2,0,-1,0.0004227593753109,-0.0004227593753109,True,False,False,1.004951440883923,1.0053764732136912,-0.00042275937531088825
17343,2026-06-26 02:25:00+00:00,4022.9,-1,-1,-0.0012180267965895,0.0012180267965895,True,True,True,1.006175498668191,1.006175498668191,0.0
17344,2026-06-26 02:30:00+00:00,4018.0,-1,-1,-0.0013190642110503,0.0013190642110503,True,True,True,1.00750270875852,1.00750270875852,0.0
17345,2026-06-26 02:35:00+00:00,4012.7,-1,1,-0.0011962020584642,-0.0011962020584642,True,False,False,1.0062975319443948,1.00750270875852,-0.0011962020584642685
17346,2026-06-26 02:40:00+00:00,4007.9,0,1,0.0001497043339404,0.0001497043339404,True,False,True,1.0064481790461604,1.00750270875852,-0.001046676801156221
17347,2026-06-26 02:45:00+00:00,4008.5,-1,-1,-0.0017712361232381,0.0017712361232381,True,True,True,1.008230836417054,1.008230836417054,0.0
17348,2026-06-26 02:50:00+00:00,4001.4,1,1,0.0011495976408257,0.0011495976408257,True,True,True,1.0093898962080068,1.0093898962080068,0.0
17349,2026-06-26 02:55:00+00:00,4006.0,0,1,-0.0001248127808287,-0.0001248127808287,True,False,False,1.0092639114481208,1.0093898962080068,-0.00012481278082854264
17353,2026-06-26 03:15:00+00:00,4014.3,-1,-1,-0.0013701018857583,0.0013701018857583,True,True,True,1.0106467058364237,1.0106467058364237,0.0
17358,2026-06-26 03:40:00+00:00,4015.5,0,1,-0.00062258747354,-0.00062258747354,True,False,False,1.0100174898571954,1.0106467058364237,-0.0006225874735400483
17390,2026-06-26 06:20:00+00:00,4038.4,0,-1,0.000297147385103,-0.000297147385103,True,False,False,1.009717365801176,1.0106467058364237,-0.0009195498584033679
17391,2026-06-26 06:25:00+00:00,4039.6,0,1,-0.0001980394098425,-0.0001980394098425,True,False,False,1.0095174019699449,1.0106467058364237,-0.0011174071611347314
17397,2026-06-26 06:55:00+00:00,4047.2,0,1,-0.0004941688080648,-0.0004941688080648,True,False,False,1.0090185299586927,1.0106467058364237,-0.0016110237814346284
17403,2026-06-26 07:25:00+00:00,4053.7,0,-1,-0.0001726817475392,0.0001726817475392,True,False,True,1.0091927690417453,1.0106467058364237,-0.001438620228297438
17425,2026-06-26 09:15:00+00:00,4061.8,0,-1,0.0003692944014968,-0.0003692944014968,True,False,False,1.0088200798021072,1.0106467058364237,-0.0018073833553978735
17426,2026-06-26 09:20:00+00:00,4063.3,0,1,7.383161469731725e-05,7.383161469731725e-05,True,False,True,1.008894562617538,1.0106467058364237,-0.001733685182732092
17427,2026-06-26 09:25:00+00:00,4063.6,0,1,0.0,0.0,True,False,False,1.008894562617538,1.0106467058364237,-0.001733685182732092
17452,2026-06-26 11:30:00+00:00,4069.7,-1,-1,-0.0014988819814728,0.0014988819814728,True,True,True,1.0104067764986513,1.0106467058364237,-0.0002374017907412762
17456,2026-06-26 11:50:00+00:00,4059.1,0,1,0.0004680840580424,0.0004680840580424,True,False,True,1.0108797318028684,1.0108797318028684,0.0
17466,2026-06-26 12:40:00+00:00,4055.1,0,1,0.000961751868018,0.000961751868018,True,False,True,1.0118519472732714,1.0118519472732714,0.0
17469,2026-06-26 12:55:00+00:00,4074.0,-1,1,-0.0016691212567501,-0.0016691212567501,True,False,False,1.0101630436793936,1.0118519472732714,-0.0016691212567501168
17473,2026-06-26 13:15:00+00:00,4065.2,1,1,0.0016973334645282,0.0016973334645282,True,True,True,1.0118776272180603,1.0118776272180603,0.0
17474,2026-06-26 13:20:00+00:00,4072.1,0,-1,-4.911470739910051e-05,4.911470739910051e-05,True,False,True,1.0119273252916448,1.0119273252916448,0.0
17475,2026-06-26 13:25:00+00:00,4071.9,-1,-1,-0.0015963063925931,0.0015963063925931,True,True,True,1.0135426713498474,1.0135426713498474,0.0
17476,2026-06-26 13:30:00+00:00,4065.4,0,-1,-0.0009593151965366,0.0009593151965366,True,False,True,1.0145149782368117,1.0145149782368117,0.0
17477,2026-06-26 13:35:00+00:00,4061.5,1,1,0.0038901883540565,0.0038901883540565,True,True,True,1.0184616325901645,1.0184616325901645,0.0
17478,2026-06-26 13:40:00+00:00,4077.3,0,-1,-0.000196208275084,0.000196208275084,True,False,True,1.0186614631903341,1.0186614631903341,0.0
17479,2026-06-26 13:45:00+00:00,4076.5,0,1,0.0005396786458971,0.0005396786458971,True,False,True,1.0192112130294162,1.0192112130294162,0.0
17480,2026-06-26 13:50:00+00:00,4078.7,1,-1,0.0024517615907029,-0.0024517615907029,True,False,False,1.016712350124497,1.0192112130294162,-0.0024517615907028167
17481,2026-06-26 13:55:00+00:00,4088.7,1,1,0.0010516790177808,0.0010516790177808,True,True,True,1.0177816051702415,1.0192112130294162,-0.00140266103914366
17482,2026-06-26 14:00:00+00:00,4093.0,0,1,0.0004642071829954,0.0004642071829954,True,False,True,1.018254066702082,1.0192112130294162,-0.0009391049814779784
17483,2026-06-26 14:05:00+00:00,4094.9,0,1,0.0007081980023933,0.0007081980023933,True,False,True,1.0189751921980494,1.0192112130294162,-0.00023157205135648784
17484,2026-06-26 14:10:00+00:00,4097.8,1,1,0.0015862169944849,0.0015862169944849,True,True,True,1.0205915079648724,1.0205915079648724,0.0
17485,2026-06-26 14:15:00+00:00,4104.3,0,-1,2.4364690690115157e-05,-2.4364690690115157e-05,True,False,False,1.02056664156846,1.0205915079648724,-2.436469069000413e-05
17486,2026-06-26 14:20:00+00:00,4104.4,-1,-1,-0.0011451125621284,0.0011451125621284,True,True,True,1.0217353052502094,1.0217353052502094,0.0
17487,2026-06-26 14:25:00+00:00,4099.7,-1,-1,-0.001048857233456,0.001048857233456,True,True,True,1.0228069597157985,1.0228069597157985,0.0
17488,2026-06-26 14:30:00+00:00,4095.4,0,-1,-0.0002197587537237,0.0002197587537237,True,False,True,1.0230317304985654,1.0230317304985654,0.0
17489,2026-06-26 14:35:00+00:00,4094.5,0,1,0.000781536207107,0.000781536207107,True,False,True,1.0238312668369696,1.0238312668369696,0.0
17491,2026-06-26 14:45:00+00:00,4103.5,0,-1,-7.310832216400609e-05,7.310832216400609e-05,True,False,True,1.0239061174230673,1.0239061174230673,0.0
17492,2026-06-26 14:50:00+00:00,4103.2,-1,-1,-0.0018278416845388,0.0018278416845388,True,True,True,1.0257776557055474,1.0257776557055474,0.0
17495,2026-06-26 15:05:00+00:00,4096.0,0,1,-0.0004150390624999,-0.0004150390624999,True,False,False,1.02535191790899,1.0257776557055474,-0.00041503906249984457
17501,2026-06-26 15:35:00+00:00,4106.7,0,1,0.0008522658095306,0.0008522658095306,True,False,True,1.0262257902913605,1.0262257902913605,0.0
17502,2026-06-26 15:40:00+00:00,4110.2,0,-1,-2.4329716315385497e-05,2.4329716315385497e-05,True,False,True,1.026250758073714,1.026250758073714,0.0
17504,2026-06-26 15:50:00+00:00,4101.7,1,1,0.0011214862130337,0.0011214862130337,True,True,True,1.027401684150009,1.027401684150009,0.0
17512,2026-06-26 16:30:00+00:00,4103.5,0,-1,-0.0008529304252467,0.0008529304252467,True,False,True,1.0282779863053704,1.0282779863053704,0.0
17514,2026-06-26 16:40:00+00:00,4099.6,0,1,-0.0001951409893649,-0.0001951409893649,True,False,False,1.0280773271217807,1.0282779863053704,-0.00019514098936479485
17565,2026-06-26 20:55:00+00:00,4103.0,-1,-1,-0.0031684133560808,0.0031684133560808,True,True,True,1.0313347010561171,1.0313347010561171,0.0
17566,2026-06-28 22:00:00+00:00,4090.0,0,-1,-4.8899755501152775e-05,4.8899755501152775e-05,True,False,True,1.0313851330708388,1.0313851330708388,0.0
17569,2026-06-28 22:15:00+00:00,4074.4,0,1,-9.817396426470282e-05,-9.817396426470282e-05,True,False,False,1.0312838779036415,1.0313851330708388,-9.817396426470282e-05
17570,2026-06-28 22:20:00+00:00,4074.0,0,1,-0.0006627393225331,-0.0006627393225331,True,False,False,1.0306004055250604,1.0313851330708388,-0.0007608482230512248
17571,2026-06-28 22:25:00+00:00,4071.3,0,1,-2.4562179156584207e-05,-2.4562179156584207e-05,True,False,False,1.030575091733261,1.0313851330708388,-0.0007853917141175115
17572,2026-06-28 22:30:00+00:00,4071.2,0,1,0.0009579485164079,0.0009579485164079,True,False,True,1.031562329613434,1.031562329613434,0.0
17574,2026-06-28 22:40:00+00:00,4077.7,1,1,0.001348799568384,0.001348799568384,True,True,True,1.0329537004383778,1.0329537004383778,0.0
17576,2026-06-28 22:50:00+00:00,4079.0,0,1,0.0004412846285855,0.0004412846285855,True,False,True,1.0334095270284218,1.0334095270284218,0.0
17577,2026-06-28 22:55:00+00:00,4080.8,0,1,0.0003185649872572,0.0003185649872572,True,False,True,1.033738735121231,1.033738735121231,0.0
17579,2026-06-28 23:05:00+00:00,4084.1,-1,-1,-0.0010283783452902,0.0010283783452902,True,True,True,1.0348018096511173,1.0348018096511173,0.0
17595,2026-06-29 00:25:00+00:00,4062.6,1,1,0.0015015015015014,0.0015015015015014,True,True,True,1.036355566122065,1.036355566122065,0.0
17598,2026-06-29 00:40:00+00:00,4083.3,0,1,-0.0007346998751009,-0.0007346998751009,True,False,False,1.035594155817075,1.036355566122065,-0.000734699875100886
17599,2026-06-29 00:45:00+00:00,4080.3,0,1,0.0008822880670538,0.0008822880670538,True,False,True,1.036507848183063,1.036507848183063,0.0
17600,2026-06-29 00:50:00+00:00,4083.9,0,1,0.0,0.0,True,False,False,1.036507848183063,1.036507848183063,0.0
17602,2026-06-29 01:00:00+00:00,4078.8,0,-1,-0.0007355104442483,0.0007355104442483,True,False,True,1.037270210530947,1.037270210530947,0.0
17603,2026-06-29 01:05:00+00:00,4075.8,-1,-1,-0.0015457088179008,0.0015457088179008,True,True,True,1.0388735282419104,1.0388735282419104,0.0
17604,2026-06-29 01:10:00+00:00,4069.5,0,1,0.0003685956505712,0.0003685956505712,True,False,True,1.039256452505914,1.039256452505914,0.0
17614,2026-06-29 02:00:00+00:00,4080.4,0,-1,-0.0009802960494069,0.0009802960494069,True,False,True,1.0402752315006263,1.0402752315006263,0.0
17620,2026-06-29 02:30:00+00:00,4083.6,-1,-1,-0.0020570085218925,0.0020570085218925,True,True,True,1.0424150865169368,1.0424150865169368,0.0
17624,2026-06-29 02:50:00+00:00,4082.5,0,-1,-0.0004164115125535,0.0004164115125535,True,False,True,1.042849160159822,1.042849160159822,0.0
17645,2026-06-29 04:35:00+00:00,4069.0,0,1,0.0005898255099532,0.0005898255099532,True,False,True,1.0434642591975176,1.0434642591975176,0.0
17651,2026-06-29 05:05:00+00:00,4066.5,0,-1,0.0008360998401573,-0.0008360998401573,True,False,False,1.0425918188971928,1.0434642591975176,-0.0008360998401572006
