,precision,recall,f1-score,support
-1,0.4360726787797966,0.10407797891386512,0.1680477934091347,25135.0
0,0.7471595212846538,0.907129018809623,0.8194097547198024,81554.0
1,0.4013612493090105,0.4260148887014559,0.4133207621012933,27269.0
accuracy,0.6585123695486645,0.6585123695486645,0.6585123695486645,0.6585123695486645
macro avg,0.5281978164578204,0.479073962141648,0.46692610341007673,133958.0
weighted avg,0.6183972161975114,0.6585123695486645,0.6145274510331412,133958.0
