,precision,recall,f1-score,support
-1,0.6103191905640337,0.4342707131776779,0.507459911689519,25141.0
0,0.7885337534530387,0.8958123912030794,0.8387567002972809,81574.0
1,0.5993000128046438,0.5147937671860678,0.5538419059640265,27275.0
accuracy,0.7316516157922233,0.7316516157922233,0.7316516157922233,0.7316516157922233
macro avg,0.6660509856072387,0.6149589571889417,0.6333528393169422,133990.0
weighted avg,0.7165743340801195,0.7316516157922233,0.7185971094485066,133990.0
