,precision,recall,f1-score,support
-1,0.7811985737794843,0.906328308340957,0.8391242703787586,25141.0
0,0.9724937110808693,0.8672616274793439,0.9168680866505531,81574.0
1,0.7778643803585347,0.9147571035747021,0.8407750631844987,27275.0
accuracy,0.8842600194044332,0.8842600194044332,0.8842600194044332,0.8842600194044332
macro avg,0.8438522217396294,0.8961156797983344,0.8655891400712701,133990.0
weighted avg,0.8969816128470772,0.8842600194044332,0.886791256290632,133990.0
