entry_datetime,signal,entry_price,stop_loss,take_profit,exit_datetime,exit_price,result,pnl,duration_bars,risk_reward_ratio
2024-09-06 12:00:00,BUY,2552.300048828125,2545.60009765625,2565.699951171875,2024-09-06 13:00:00,2545.60009765625,LOSS,-6.699951171875,1,1.0
2025-06-27 13:00:00,SELL,3286.300048828125,3303.300048828125,3252.300048828125,2025-06-29 22:00:00,3252.300048828125,WIN,34.0,8,2.0
2025-10-22 00:00:00,SELL,4088.60009765625,4146.7001953125,3972.39990234375,2025-10-22 03:00:00,4146.7001953125,LOSS,-58.10009765625,3,1.0
