datetime,adj_close,close,high,low,open,volume,asset,symbol,timeframe,source,ema_20,ema_50,ema_200,rsi_14,atr_14,return_1,volatility_20,cpi,nfp,fed_rate,unemployment_rate,is_swing_high,is_swing_low,last_swing_high,last_swing_low,distance_to_swing_high,distance_to_swing_low,previous_swing_high,previous_swing_low,higher_high,higher_low,lower_high,lower_low,trend,bos,bos_bullish,bos_bearish,bos_direction,bos_strength,bos_event,last_bos_direction,bos_v2,bos_v2_direction,bos_price,bos_strength_points,bos_strength_atr,bos_volume_ratio,bos_confirmed,distance_to_bos,bos_score,last_bos_price,choch,choch_bullish,choch_bearish,choch_direction,choch_event,last_choch_direction,choch_v2,choch_v2_direction,choch_strength_atr,choch_confirmed,choch_after_liquidity,choch_score,equal_high,equal_low,liquidity_pool_direction,liquidity_pool_price,liquidity_pool_strength,liquidity_pool_age,liquidity_pool_distance,liquidity_pool_swept,liquidity_pool_active,liquidity_pool_score,liquidity_sweep,buy_side_sweep,sell_side_sweep,liquidity_sweep_direction,liquidity_sweep_strength,fvg,fvg_bullish,fvg_bearish,fvg_direction,fvg_top,fvg_bottom,fvg_size,fvg_v2_active,fvg_v2_age,fvg_v2_fill_percent,fvg_v2_partial_fill,fvg_v2_complete_fill,fvg_v2_distance,fvg_v2_score,order_block,order_block_direction,order_block_top,order_block_bottom,order_block_size,ob_v2,ob_v2_direction,ob_v2_top,ob_v2_bottom,ob_v2_size,ob_v2_size_atr,ob_v2_distance,ob_v2_mitigated,ob_v2_confluence_bos,ob_v2_confluence_fvg,ob_v2_confluence_liquidity,ob_v2_score,ob_v2_midpoint,last_ob_top,last_ob_bottom,last_ob_direction,recent_fvg,recent_liquidity_sweep_for_ob,ob_lifecycle_active,ob_lifecycle_age,ob_lifecycle_touch_count,ob_lifecycle_retested,ob_lifecycle_mitigated,ob_lifecycle_invalidated,ob_lifecycle_score,support_price,resistance_price,distance_to_support,distance_to_resistance,support_broken,resistance_broken,near_support,near_resistance,range_high,range_low,equilibrium_price,premium_zone,discount_zone,distance_to_equilibrium,equilibrium_zone,hour,day_of_week,month,asian_session,london_session,new_york_session,london_new_york_overlap,session,market_structure_score,buy_setup_score,sell_setup_score,buy_setup,sell_setup,trade_setup,risk_signal,risk_trade_allowed,risk_entry_price,risk_stop_loss,risk_take_profit,risk_stop_distance,risk_reward_ratio,sl_method,sl_price,sl_distance,tp_method,tp_price,tp_distance
2024-07-17 05:00:00,2470.199951171875,2470.199951171875,2475.60009765625,2470.199951171875,2472.5,4512,gold,GC=F,1h,yahoo,2465.1527630186856,2447.098395534862,2404.624592529349,60.50099985402824,7.271352011277882,-0.0009706973993287,0.0022982093954227,313.569,157748,5.33,4.2,False,False,,,,,,,False,False,False,False,0,0,False,False,NONE,0.0,False,NONE,0,NONE,,0.0,0.0,0.0,False,,0.0,,0,False,False,NONE,False,NONE,0,NONE,0.0,False,False,0.0,False,False,NONE,0.0,0,0,0.0,False,False,0.0,0,False,False,NONE,0.0,0,False,False,NONE,,,0.0,False,0,0.0,False,False,0.0,0.0,0,NONE,,,0.0,0,NONE,,,0.0,0.0,0.0,False,False,False,False,0.0,,,,NONE,False,False,False,0,0,False,False,False,0.0,,,,,False,False,False,False,,,,False,False,,False,5,2,7,False,True,False,False,LONDON,5.0,5.0,5.0,False,False,NO_TRADE,NO_TRADE,False,2470.199951171875,0.0,0.0,0.0,2.0,NONE,0.0,2470.199951171875,NONE,0.0,2470.199951171875
2024-07-17 06:00:00,2471.39990234375,2471.39990234375,2472.60009765625,2466.60009765625,2470.199951171875,7387,gold,GC=F,1h,yahoo,2465.747728668692,2448.0513958018773,2405.289023472776,61.46388668920821,7.180541153329462,0.0004857708669721,0.0022594931035361,313.569,157748,5.33,4.2,False,False,,,,,,,False,False,False,False,0,0,False,False,NONE,0.0,False,NONE,0,NONE,,0.0,0.0,0.0,False,,0.0,,0,False,False,NONE,False,NONE,0,NONE,0.0,False,False,0.0,False,False,NONE,0.0,0,0,0.0,False,False,0.0,0,False,False,NONE,0.0,0,False,False,NONE,,,0.0,False,0,0.0,False,False,0.0,0.0,0,NONE,,,0.0,0,NONE,,,0.0,0.0,0.0,False,False,False,False,0.0,,,,NONE,False,False,False,0,0,False,False,False,0.0,,,,,False,False,False,False,,,,False,False,,False,6,2,7,False,True,False,False,LONDON,5.0,5.0,5.0,False,False,NO_TRADE,NO_TRADE,False,2471.39990234375,0.0,0.0,0.0,2.0,NONE,0.0,2471.39990234375,NONE,0.0,2471.39990234375
2024-07-17 07:00:00,2479.10009765625,2479.10009765625,2479.199951171875,2468.89990234375,2471.39990234375,10355,gold,GC=F,1h,yahoo,2467.019382857983,2449.2689919530294,2406.023462021865,67.01990752715149,7.403363130100572,0.003115722107619,0.0023053112421661,313.569,157748,5.33,4.2,False,False,,,,,,,False,False,False,False,0,0,False,False,NONE,0.0,False,NONE,0,NONE,,0.0,0.0,0.0,False,,0.0,,0,False,False,NONE,False,NONE,0,NONE,0.0,False,False,0.0,False,False,NONE,0.0,0,0,0.0,False,False,0.0,0,False,False,NONE,0.0,0,False,False,NONE,,,0.0,False,0,0.0,False,False,0.0,0.0,0,NONE,,,0.0,0,NONE,,,0.0,0.0,0.0,False,False,False,False,0.0,,,,NONE,False,False,False,0,0,False,False,False,0.0,,,,,False,False,False,False,,,,False,False,,False,7,2,7,False,True,False,False,LONDON,5.0,5.0,5.0,False,False,NO_TRADE,NO_TRADE,False,2479.10009765625,0.0,0.0,0.0,2.0,NONE,0.0,2479.10009765625,NONE,0.0,2479.10009765625
2024-07-17 08:00:00,2479.60009765625,2479.60009765625,2483.39990234375,2476.199951171875,2479.10009765625,10478,gold,GC=F,1h,yahoo,2468.217546172104,2450.458447078646,2406.7555678490726,67.34909561963102,7.388833704513031,0.0002016860878157,0.0022987085829198,313.569,157748,5.33,4.2,True,False,2483.39990234375,,3.7998046875,,,,False,False,False,False,0,0,False,False,NONE,0.0,False,NONE,0,NONE,,0.0,0.0,0.0,False,,0.0,,0,False,False,NONE,False,NONE,0,NONE,0.0,False,False,0.0,False,False,NONE,0.0,0,0,0.0,False,False,0.0,0,False,False,NONE,0.0,1,True,False,BULLISH,2476.199951171875,2472.60009765625,3.599853515625,True,1,0.0,False,False,7.0,100.0,0,NONE,,,0.0,0,NONE,,,0.0,0.0,0.0,False,False,False,False,0.0,,,,NONE,False,False,False,0,0,False,False,False,0.0,,2483.39990234375,,3.7998046875,False,False,False,True,2483.39990234375,,,False,False,,False,8,2,7,False,True,True,True,LONDON_NY_OVERLAP,35.0,20.0,5.0,False,False,NO_TRADE,NO_TRADE,False,2479.60009765625,0.0,0.0,0.0,2.0,NONE,0.0,2479.60009765625,NONE,0.0,2479.60009765625
2024-07-17 09:00:00,2479.5,2479.5,2480.0,2474.300048828125,2479.60009765625,6751,gold,GC=F,1h,yahoo,2469.292065584285,2451.597331506934,2407.4793930446044,67.20447539511832,7.268199237896028,-4.0368467618900894e-05,0.0021488654357015,313.569,157748,5.33,4.2,False,False,2483.39990234375,,3.89990234375,,2483.39990234375,,False,False,False,False,0,0,False,False,NONE,0.0,False,NONE,0,NONE,,0.0,0.0,0.0,False,,0.0,,0,False,False,NONE,False,NONE,0,NONE,0.0,False,False,0.0,False,False,NONE,0.0,0,0,0.0,False,False,0.0,0,False,False,NONE,0.0,0,False,False,NONE,,,0.0,True,2,52.78,True,False,6.8999,75.0,0,NONE,,,0.0,0,NONE,,,0.0,0.0,0.0,False,False,False,False,0.0,,,,NONE,True,False,False,0,0,False,False,False,0.0,,2483.39990234375,,3.89990234375,False,False,False,True,2483.39990234375,,,False,False,,False,9,2,7,False,True,True,True,LONDON_NY_OVERLAP,31.25,5.0,5.0,False,False,NO_TRADE,NO_TRADE,False,2479.5,0.0,0.0,0.0,2.0,NONE,0.0,2479.5,NONE,0.0,2479.5
2024-07-17 10:00:00,2472.300048828125,2472.300048828125,2480.89990234375,2470.800048828125,2479.699951171875,5906,gold,GC=F,1h,yahoo,2469.578540178936,2452.409202774432,2408.124374694192,57.620141986375295,7.470460257733812,-0.0029037915595382,0.0021563300896005,313.569,157748,5.33,4.2,False,True,2483.39990234375,2470.800048828125,11.099853515625,1.5,2483.39990234375,,False,False,False,False,0,0,False,False,NONE,0.0,False,NONE,0,NONE,,0.0,0.0,0.0,False,,0.0,,0,False,False,NONE,False,NONE,0,NONE,0.0,False,False,0.0,False,False,NONE,0.0,0,0,0.0,False,False,0.0,0,False,False,NONE,0.0,0,False,False,NONE,,,0.0,False,3,100.0,False,True,-0.3,20.0,0,NONE,,,0.0,0,NONE,,,0.0,0.0,0.0,False,False,False,False,0.0,,,,NONE,True,False,False,0,0,False,False,False,0.0,2470.800048828125,2483.39990234375,1.5,11.099853515625,False,False,True,False,2483.39990234375,2470.800048828125,2477.0999755859375,False,True,-4.7999267578125,False,10,2,7,False,True,True,True,LONDON_NY_OVERLAP,23.0,15.0,5.0,False,False,NO_TRADE,NO_TRADE,False,2472.300048828125,0.0,0.0,0.0,2.0,NONE,0.0,2472.300048828125,NONE,0.0,2472.300048828125
2024-07-17 11:00:00,2474.60009765625,2474.60009765625,2478.0,2471.800048828125,2472.199951171875,6257,gold,GC=F,1h,yahoo,2470.0567837482045,2453.279433946268,2408.785824673914,59.60218807412398,7.379709608743896,0.0009303275422476,0.0020166020765518,313.569,157748,5.33,4.2,False,False,2483.39990234375,2470.800048828125,8.7998046875,3.800048828125,2483.39990234375,2470.800048828125,False,False,False,False,0,0,False,False,NONE,0.0,False,NONE,0,NONE,,0.0,0.0,0.0,False,,0.0,,0,False,False,NONE,False,NONE,0,NONE,0.0,False,False,0.0,False,False,NONE,0.0,0,0,0.0,False,False,0.0,0,False,False,NONE,0.0,0,False,False,NONE,,,0.0,False,4,100.0,False,True,2.0,30.0,0,NONE,,,0.0,0,NONE,,,0.0,0.0,0.0,False,False,False,False,0.0,,,,NONE,True,False,False,0,0,False,False,False,0.0,2470.800048828125,2483.39990234375,3.800048828125,8.7998046875,False,False,True,False,2483.39990234375,2470.800048828125,2477.0999755859375,False,True,-2.4998779296875,False,11,2,7,False,True,True,True,LONDON_NY_OVERLAP,24.5,15.0,5.0,False,False,NO_TRADE,NO_TRADE,False,2474.60009765625,0.0,0.0,0.0,2.0,NONE,0.0,2474.60009765625,NONE,0.0,2474.60009765625
2024-07-17 12:00:00,2478.199951171875,2478.199951171875,2480.10009765625,2473.199951171875,2474.60009765625,13641,gold,GC=F,1h,yahoo,2470.83232350284,2454.256709131586,2409.4765124997643,62.55402178469039,7.345455099860404,0.001454721318016,0.0017772854434109,313.569,157748,5.33,4.2,False,False,2483.39990234375,2470.800048828125,5.199951171875,7.39990234375,2483.39990234375,2470.800048828125,False,False,False,False,0,0,False,False,NONE,0.0,False,NONE,0,NONE,,0.0,0.0,0.0,False,,0.0,,0,False,False,NONE,False,NONE,0,NONE,0.0,False,False,0.0,False,False,NONE,0.0,0,0,0.0,False,False,0.0,0,False,False,NONE,0.0,0,False,False,NONE,,,0.0,True,5,83.34,True,False,5.5999,75.0,0,NONE,,,0.0,0,NONE,,,0.0,0.0,0.0,False,False,False,False,0.0,,,,NONE,True,False,False,0,0,False,False,False,0.0,2470.800048828125,2483.39990234375,7.39990234375,5.199951171875,False,False,False,True,2483.39990234375,2470.800048828125,2477.0999755859375,True,False,1.0999755859375,False,12,2,7,False,False,True,False,NEW_YORK,16.25,5.0,15.0,False,False,NO_TRADE,NO_TRADE,False,2478.199951171875,0.0,0.0,0.0,2.0,NONE,0.0,2478.199951171875,NONE,0.0,2478.199951171875
2024-07-17 13:00:00,2487.699951171875,2487.699951171875,2488.199951171875,2475.800048828125,2478.199951171875,36625,gold,GC=F,1h,yahoo,2472.438764233224,2455.5682088194403,2410.254855173119,68.99300366378232,7.706487045852518,0.003833427563223,0.0018918934813422,313.569,157748,5.33,4.2,False,False,2483.39990234375,2470.800048828125,-4.300048828125,16.89990234375,2483.39990234375,2470.800048828125,False,False,False,False,0,1,True,False,BULLISH,4.300048828125,True,BULLISH,1,BULLISH,2483.39990234375,4.300048828125,0.5579778182381041,0.0,True,4.300048828125,50.0,2483.39990234375,0,False,False,NONE,False,NONE,0,NONE,0.0,False,False,0.0,False,False,NONE,0.0,0,0,0.0,False,False,0.0,0,False,False,NONE,0.0,0,False,False,NONE,,,0.0,True,6,11.11,True,False,15.0999,100.0,1,BULLISH,2480.89990234375,2470.800048828125,10.099853515625,1,BULLISH,2480.89990234375,2470.800048828125,10.099853515625,1.310565171333227,11.8499755859375,True,True,False,False,60.0,2475.8499755859375,2480.89990234375,2470.800048828125,BULLISH,False,False,True,1,1,False,True,False,65.0,2470.800048828125,2483.39990234375,16.89990234375,-4.300048828125,False,True,False,True,2483.39990234375,2470.800048828125,2477.0999755859375,True,False,10.5999755859375,False,13,2,7,False,False,True,False,NEW_YORK,45.5,45.0,15.0,False,False,NO_TRADE,NO_TRADE,False,2487.699951171875,0.0,0.0,0.0,2.0,NONE,0.0,2487.699951171875,NONE,0.0,2487.699951171875
2024-07-17 14:00:00,2468.0,2468.0,2488.39990234375,2465.39990234375,2487.60009765625,44535,gold,GC=F,1h,yahoo,2472.0160247824406,2456.0557300422074,2410.82943372861,49.85021240924997,8.798880828291624,-0.0079189418171572,0.0026176583709362,313.569,157748,5.33,4.2,True,False,2488.39990234375,2470.800048828125,20.39990234375,-2.800048828125,2483.39990234375,2470.800048828125,True,False,False,False,0,-1,False,True,BEARISH,2.800048828125,True,BEARISH,-1,BEARISH,2470.800048828125,2.800048828125,0.31822783860440723,0.0,True,-2.800048828125,30.0,2470.800048828125,0,False,False,NONE,False,NONE,0,NONE,0.0,False,False,0.0,False,False,NONE,0.0,0,0,0.0,False,False,0.0,-1,True,False,BUY_SIDE_SWEEP,5.0,0,False,False,NONE,,,0.0,False,7,100.0,False,True,-4.6001,20.0,-1,BEARISH,2488.199951171875,2475.800048828125,12.39990234375,-1,BEARISH,2488.199951171875,2475.800048828125,12.39990234375,1.4092590393859834,14.0,False,True,False,True,80.0,2482.0,2488.199951171875,2475.800048828125,BEARISH,False,True,True,1,1,False,True,False,65.0,2470.800048828125,2488.39990234375,-2.800048828125,20.39990234375,True,False,True,False,2488.39990234375,2470.800048828125,2479.5999755859375,False,True,-11.5999755859375,False,14,2,7,False,False,True,False,NEW_YORK,32.5,15.0,60.0,False,False,NO_TRADE,NO_TRADE,False,2468.0,0.0,0.0,0.0,2.0,NONE,0.0,2468.0,NONE,0.0,2468.0
